No,領域,タイプ名,猫ネーム,キャッチ,家猫化ポイント,X,Y,チュール,キャットタワー,改善策,副作用,出典,URL,根拠区分,根拠要約,座標根拠,根拠レベル,出典2,URL2
87,言語・文化,読み書きにサポートが必要,読み書きサポート猫,口で聞ければ、分かることもある,文字情報だけに依存すると理解・申込の障壁になる人がいる。,4.1,8.2,電話・音声案内,読み上げ・対面サポート,音声、動画、電話、代理入力など複数モードを用意する。,本人の意思確認なしに代理処理を進めない。,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook,情報アクセシビリティ,誰一人取り残されないデジタル化の観点から、読み上げ、代替テキスト、見出し構造、スマートフォン対応などアクセシビリティ上の配慮を示す。,文字中心の手続きが大きな障壁ためYを相対的に高低配置し、サービス側のアクセシビリティ改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府ガイド + A:公的調査,文化庁「在留外国人に対する基礎調査」,https://www.bunka.go.jp/tokei_hakusho_shuppan/tokeichosa/nihongokyoiku_jittai/zaiju_gaikokujin.html
88,言語・文化,通訳や橋渡しがあれば参加しやすい,通訳いるなら猫,ひとりで全部理解しなくていいなら行ける,言語と制度の間をつなぐ支援者が参加入口になる場合がある。,4.5,7.9,通訳・相談員,多文化コーディネーター,地域の多文化支援者、通訳、相談窓口への導線をイベント案内に組み込む。,通訳者に過度な個人情報を共有しない。,出入国在留管理庁「生活・就労ガイドブック」,https://www.moj.go.jp/isa/support/portal/guidebook_all.html,言語・支援,外国人住民向けに多言語で生活情報を提供する公的ガイド。言語や制度理解の障壁を下げる情報提供の必要性を示す。,支援なしでは参加が難しいためYを相対的に高低配置し、中間支援・地域側の役割が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的機関 + A:公的調査,文化庁「在留外国人に対する基礎調査」,https://www.bunka.go.jp/tokei_hakusho_shuppan/tokeichosa/nihongokyoiku_jittai/zaiju_gaikokujin.html
89,信頼・安全,個人情報の登録に抵抗がある,個人情報心配猫,参加したい。でも登録項目が多い,必要以上の個人情報収集は参加前の不安や離脱につながりうる。,7.8,7.6,匿名・ニックネームOK,最小限データの申込,目的に必要な最小項目だけ収集し、保存期間・利用目的を明示する。,匿名性が必要な安全連絡を妨げないよう場面別に設計する。,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook,プライバシー,誰一人取り残されないデジタル化の観点から、読み上げ、代替テキスト、見出し構造、スマートフォン対応などアクセシビリティ上の配慮を示す。,登録不安が参加を止めやすいためYを相対的に高低配置し、私的情報を守る本人選択と相性が強いためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:政府ガイド,,
90,信頼・安全,勧誘や加入圧力を警戒する,勧誘警戒猫,一回来たら抜けられない？が怖い,体験参加が継続加入や営業につながる不安が入口を狭める。,6.6,7.8,勧誘なし宣言,体験と会員登録を分離,「参加後の勧誘なし」「連絡停止は1クリック」を明示する。,必要な継続案内まで届かなくならないよう本人が選べる。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,信頼・参加設計,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,信頼が形成されるまで参加ハードルが高いためYを相対的に高低配置し、本人の自己決定を強く守る設計ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計・行政調査,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html
91,信頼・安全,経験・体力・安全衛生面が不安,安全第一猫,役に立ちたい。でも無理はしたくない,公的調査ではボランティア不参加理由として経験・体力・安全衛生への不安が大きい。,4.7,8.4,初心者・軽作業枠,安全説明・装備・休憩,活動強度を段階表示し、研修、保険、休憩、軽作業を用意する。,参加促進を優先して危険作業を任せない。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,安全・経験,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,安全不安が外出・参加を強く抑えるためYを相対的に高低配置し、運営側の安全設計が重要ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査,,
92,信頼・安全,経験不足で役に立てるか不安,初心者不安猫,何も知らない私でもいい？,初心者は作業内容や期待水準が分からず参加をためらいやすい。,5.2,8.0,初心者マーク,練習・見学・簡単役割,事前説明、見学、初心者向けタスク、相談役を用意する。,初心者を単純作業に固定せず成長機会も示す。,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/,経験・自己効力感,災害ボランティアに参加を希望しない理由として、経験・体力・安全衛生への不安、時間不足、費用、情報不足、周囲の理解不足などが回答されている。,経験不安が参加を抑えるためYを相対的に高低配置し、地域側の受入れ設計が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,A:公的統計・行政調査 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
93,信頼・安全,失敗して迷惑をかけるのが怖い,失敗こわい猫,間違えたらどうしよう、で止まる,責任範囲やフォロー体制が不明だと参加の心理コストが上がる。,5.8,8.2,失敗OK宣言,レビュー・ペア作業,小さな役割、ペア作業、確認者、やり直し可能なタスクを設計する。,「失敗OK」で安全確認を省略しない。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,心理的安全性,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,心理的ハードルが高いためYを相対的に高低配置し、本人の不安と組織側の支援設計が両方あるためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計・行政調査,内閣府「防災に関する世論調査（令和7年8月調査）」,https://survey.gov-online.go.jp/public_safety/202510/r07/r07-bousai/
94,信頼・安全,顔見知りの橋渡しがあると参加しやすい,顔見知り橋渡し猫,あの人がいるなら行ってみる,信頼できる中間者や紹介者が未知の場への入口になる。,4.8,6.2,紹介メッセージ,地域コーディネーター,既存参加者からの紹介、案内役、中間支援組織を参加導線にする。,紹介者の人間関係だけに依存しない公開入口も残す。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,中間支援,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,信頼があれば外に出やすいためYを相対的に高低配置し、地域側の橋渡し機能が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計・行政調査,内閣府「人々のつながりに関する基礎調査（令和7年）」,https://www.cao.go.jp/kodoku_koritsu/torikumi/zenkokuchousa/r7.html
95,組織・役割設計,会議が長く終わりが見えない,会議長すぎ猫,議題より終了時刻が気になる,長時間会議は時間制約のある人を継続的に排除しうる。,5.7,6.6,45分で終了,議題・終了時刻を事前公開,タイムボックス、事前資料、非同期コメント、決定事項だけの共有を導入する。,短時間化で対話や少数意見を切り捨てない。,都市計画論文集 59巻3号「地域組織の持続的な活動と役割・選出方法に関する研究」,https://www.jstage.jst.go.jp/article/journalcpij/59/3/59_10011/_article/-char/ja,組織設計,地域組織の構造や役割、選出方法が継続的な参加に影響しうることを扱う研究。役割負担や組織設計に関する類型の根拠に用いる。,外出より拘束時間が参加を左右するためYを相対的に高低配置し、組織側の運営改善が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
96,組織・役割設計,役員になることが怖くて近づけない,役員こわい猫,一度入ったら役員？が怖い,役割の固定化や重い責任が、新規参加そのものを遠ざける場合がある。,4.0,8.0,役員なし体験,任期・責任を限定した役割,参加と役員就任を切り離し、短期・共同・選択制の役割を用意する。,責任を細分化しすぎて意思決定主体が消えないようにする。,都市計画論文集 59巻3号「地域組織の持続的な活動と役割・選出方法に関する研究」,https://www.jstage.jst.go.jp/article/journalcpij/59/3/59_10011/_article/-char/ja,組織設計,地域組織の構造や役割、選出方法が継続的な参加に影響しうることを扱う研究。役割負担や組織設計に関する類型の根拠に用いる。,将来負担への不安が参加を強く抑えるためYを相対的に高低配置し、組織構造側の影響が大きいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
97,組織・役割設計,仕事量が見えず引き受けられない,仕事量みえない猫,何時間かかるの？が先に知りたい,役割の作業量が不透明だと、忙しい人ほど引き受けにくい。,4.3,7.5,工数表示,役割カード・引継ぎメモ,各役割に月何時間・繁忙期・必要スキル・任期を表示する。,工数が人によって違うことも明記する。,都市計画論文集 59巻3号「地域組織の持続的な活動と役割・選出方法に関する研究」,https://www.jstage.jst.go.jp/article/journalcpij/59/3/59_10011/_article/-char/ja,役割明確化,地域組織の構造や役割、選出方法が継続的な参加に影響しうることを扱う研究。役割負担や組織設計に関する類型の根拠に用いる。,負担不確実性が参加を抑えるためYを相対的に高低配置し、組織側の透明性が中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + B:学術研究,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/
98,組織・役割設計,活動の成果が見えず意味を感じにくい,成果みえない猫,やった先が見えると動ける,活動と地域変化のつながりが見えないと参加意欲を維持しにくい。,5.0,6.8,ビフォーアフター,成果ダッシュボード,参加人数だけでなく、改善したこと・住民の声・次の課題を可視化する。,数値化しやすい成果だけを重視しない。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,成果可視化,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,参加可能だが意味づけ不足で動きにくいためYを相対的に高低配置し、組織側の説明・フィードバックが中心ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + B:学術研究,都市計画論文集 59巻3号「地域組織の持続的な活動と役割・選出方法に関する研究」,https://www.jstage.jst.go.jp/article/journalcpij/59/3/59_10011/_article/-char/ja
99,組織・役割設計,アイデア提供だけなら参加できる,アイデアだけ参加猫,会議は無理。でも一言なら出せる,実作業や会議に参加できなくても知恵・意見だけ提供できる人がいる。,7.2,5.0,1分アンケート,非同期アイデア箱,オンライン投票、音声投稿、1分アンケートで意思形成に参加できるようにする。,意見を集めるだけで反映しない「参加したふり」にしない。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,非同期参加,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,外出を伴わない軽量参加ためYを相対的に高低配置し、本人の私的環境から参加しやすいためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:政府ガイド,デジタル庁「ウェブアクセシビリティ導入ガイドブック」,https://www.digital.go.jp/resources/introduction-to-web-accessibility-guidebook
100,組織・役割設計,単発のスポット参加を好む,単発スポット猫,毎週は無理。でも今日なら,継続所属ではなく、必要な時に小さく参加する形が合う人がいる。,8.0,4.8,今日だけミッション,スポット募集ボード,タスクを単発化し、完了条件と所要時間を明示して募集する。,固定メンバーに見えない調整負担が集中しないよう運営側も分担する。,都市計画報告集「地域活動への参加と担い手に関する研究」,https://www.jstage.jst.go.jp/article/cpijkansai/22/0/22_97/_article/-char/ja/,スポット参加,地域活動で会員減少や後継者不足が課題となる状況を扱い、若者参加、役割の明確化、中間支援など参加を支える条件を検討している。,外出・行動性が比較的高いためYを相対的に高低配置し、個人の選択性が高い参加形態ためXを調整した。X/Yはいずれも統計推定値ではなく、100匹の中での比較用設計座標。,B:学術研究 + A:公的統計,総務省統計局「令和3年社会生活基本調査」,https://www.stat.go.jp/data/shakai/2021/kekka.html
